,USstate,year,month,nTweets_x,nTweets_y,misogyny_proportion
269,az,2014,6,91748.0,3.0,3.269826045254392e-05
270,az,2014,7,79461.0,5.0,6.292395011389235e-05
271,az,2014,8,76844.33333333333,3.666666666666667,4.660407843865649e-05
272,az,2014,9,74227.66666666667,2.3333333333333335,3.0284206763420638e-05
273,az,2014,10,71611.0,1.0,1.3964335088184777e-05
274,az,2014,11,80039.0,3.0,3.748172765776684e-05
275,az,2014,12,79078.0,4.0,5.058296871443385e-05
276,az,2015,1,79061.0,3.6666666666666665,4.63731654467932e-05
277,az,2015,2,79044.0,3.3333333333333335,4.216336217915255e-05
278,az,2015,3,79027.0,3.0,3.79535589115119e-05
279,az,2015,4,79010.0,2.666666666666667,3.374375564387125e-05
280,az,2015,5,78993.0,2.3333333333333335,2.95339523762306e-05
281,az,2015,6,78976.0,2.0,2.532414910858995e-05
282,az,2015,7,101111.0,2.0,1.978024151674892e-05
283,az,2015,8,56681.0,4.0,7.05703851378769e-05
284,az,2015,9,71652.0,3.0,4.1869033662703066e-05
285,az,2015,10,70029.5,2.5,3.555290383852916e-05
286,az,2015,11,68407.0,2.0,2.9236774014355257e-05
287,az,2015,12,88800.5,2.0,2.377639935217827e-05
288,az,2016,1,109194.0,2.0,1.8316024690001283e-05
289,az,2016,2,79970.0,1.0,1.2504689258471927e-05
290,az,2016,3,77650.0,1.0,1.28783000643915e-05
291,az,2016,4,102338.0,2.0,1.9543082725869177e-05
292,az,2016,5,105864.0,3.0,2.833824529585128e-05
293,az,2016,6,85101.0,1.0,1.1750743234509583e-05
294,az,2016,7,37517.0,4.0,0.0001066183330223632
295,az,2016,8,85835.0,2.0,2.330051843653521e-05
296,az,2016,9,111723.0,2.0,1.790141689714741e-05
297,az,2016,10,77700.0,1.0,1.287001287001287e-05
298,az,2016,11,92100.5,1.5,1.5824589631408345e-05
299,az,2016,12,106501.0,2.0,1.8779166392803823e-05
300,az,2017,1,115088.0,7.0,6.082302238287224e-05
301,az,2017,2,103439.0,2.0,1.9335067044344977e-05
302,az,2017,3,125287.0,2.0,1.5963348152641535e-05
303,az,2017,4,95074.0,1.0,1.051812272545596e-05
304,az,2017,5,126625.0,3.0,2.3692003948667324e-05
305,az,2017,6,112854.0,2.0,1.7722012511740834e-05
306,az,2017,7,109824.5,2.125,1.973840688877844e-05
307,az,2017,8,106795.0,2.25,2.1754801265816052e-05
308,az,2017,9,103765.5,2.375,2.3771195642853663e-05
309,az,2017,10,100736.0,2.5,2.578759001989127e-05
310,az,2017,11,97706.5,2.625,2.7803984396928878e-05
311,az,2017,12,94677.0,2.75,2.982037877396649e-05
312,az,2018,1,91647.5,2.875,3.18367731510041e-05
313,az,2018,2,88618.0,3.0,3.385316752804171e-05
314,az,2018,3,58732.0,2.0,3.40529864469114e-05
315,az,2018,4,73520.0,5.0,6.800870511425463e-05
316,az,2018,5,83235.75,4.25,5.5455600314473346e-05
317,az,2018,6,92951.5,3.5,4.290249551469207e-05
318,az,2018,7,102667.25,2.75,3.0349390714910794e-05
319,az,2018,8,112383.0,2.0,1.7796285915129514e-05
