cbsa,YEAR,alcohol
11620,2013,7
11660,2013,4
11680,2013,9
11700,2013,38
11740,2013,2
11780,2013,2
11820,2013,9
11860,2013,2
11900,2013,5
11940,2013,NA
11980,2013,14
12020,2013,13
12060,2013,428
12100,2013,57
12120,2013,NA
12140,2013,4
12180,2013,7
12220,2013,6
12260,2013,50
12300,2013,2
12380,2013,6
12420,2013,155
12460,2013,2
12540,2013,50
12580,2013,650
12620,2013,4
12660,2013,3
12680,2013,11
12700,2013,76
12740,2013,11
12780,2013,6
12820,2013,NA
12860,2013,6
12900,2013,NA
12940,2013,14
12980,2013,16
13020,2013,11
13060,2013,7
13100,2013,4
13140,2013,39
13180,2013,2
13220,2013,2
13260,2013,2
13300,2013,2
13340,2013,5
13380,2013,17
13420,2013,9
13460,2013,12
13500,2013,2
13540,2013,9
13620,2013,8
13660,2013,4
13700,2013,4
13720,2013,4
13740,2013,14
13780,2013,34
13820,2013,78
13900,2013,4
13940,2013,1
13980,2013,7
14010,2013,11
14020,2013,14
14100,2013,14
14140,2013,8
14180,2013,4
14220,2013,NA
14260,2013,31
14300,2013,NA
14340,2013,NA
14380,2013,3
14420,2013,3
14460,2013,844
14500,2013,68
14540,2013,18
14580,2013,8
14620,2013,11
14660,2013,23
14700,2013,5
14720,2013,17
14740,2013,8
14780,2013,2
14820,2013,2
14860,2013,172
15020,2013,1
15060,2013,2
15100,2013,1
15140,2013,NA
15180,2013,22
15220,2013,3
15260,2013,23
15340,2013,4
15380,2013,132
15420,2013,2
15460,2013,NA
15500,2013,7
15540,2013,42
15580,2013,2
15620,2013,4
15660,2013,6
15680,2013,28
15700,2013,3
15740,2013,4
15780,2013,8
15820,2013,NA
15860,2013,10
15900,2013,3
15940,2013,29
15980,2013,32
16020,2013,4
16060,2013,17
16100,2013,NA
16140,2013,NA
16180,2013,6
16220,2013,12
16260,2013,1
16300,2013,9
16340,2013,2
16380,2013,2
16420,2013,NA
16460,2013,6
16500,2013,7
16540,2013,14
16580,2013,19
16620,2013,3
16660,2013,7
16700,2013,67
16740,2013,118
16820,2013,20
16860,2013,44
16940,2013,14
16980,2013,1098
17020,2013,21
17060,2013,6
17140,2013,177
17200,2013,33
17220,2013,2
17260,2013,4
17300,2013,38
17340,2013,5
17380,2013,8
17420,2013,1
17460,2013,128
17500,2013,4
17540,2013,1
17580,2013,NA
17660,2013,16
17700,2013,9
17740,2013,5
17780,2013,16
17820,2013,134
17860,2013,8
17900,2013,66
17980,2013,38
18020,2013,2
18060,2013,10
18100,2013,1
18140,2013,129
18180,2013,9
18220,2013,2
18260,2013,9
18300,2013,5
18380,2013,4
18420,2013,6
18460,2013,2
18500,2013,10
18580,2013,38
18620,2013,4
18660,2013,6
18700,2013,5
18740,2013,4
18780,2013,7
18820,2013,3
18860,2013,4
18880,2013,33
18900,2013,3
18980,2013,4
19000,2013,1
19060,2013,11
19100,2013,429
19140,2013,8
19180,2013,13
19220,2013,6
19260,2013,5
19300,2013,27
19340,2013,15
19380,2013,93
19420,2013,NA
19460,2013,9
19500,2013,11
19540,2013,4
19580,2013,1
19620,2013,7
19660,2013,40
19700,2013,1
19740,2013,611
19760,2013,NA
19780,2013,22
19820,2013,957
19860,2013,6
19940,2013,2
19980,2013,5
20020,2013,10
20060,2013,3
20100,2013,39
20140,2013,13
20180,2013,17
20220,2013,2
20260,2013,60
20300,2013,3
20340,2013,8
20380,2013,5
20420,2013,17
20460,2013,NA
20500,2013,31
20540,2013,3
20580,2013,3
20660,2013,6
20700,2013,19
20740,2013,2
20780,2013,27
20820,2013,8
20900,2013,2
20940,2013,8
20980,2013,7
21020,2013,6
21060,2013,14
21120,2013,3
21140,2013,18
21180,2013,1
21220,2013,4
21260,2013,3
21300,2013,6
21340,2013,50
21380,2013,11
21420,2013,11
21460,2013,2
21500,2013,45
21540,2013,1
21580,2013,5
21640,2013,NA
21660,2013,19
21700,2013,15
21740,2013,5
21780,2013,31
21820,2013,8
21840,2013,NA
21860,2013,NA
21900,2013,2
21980,2013,1
22020,2013,29
22060,2013,7
22100,2013,2
22140,2013,4
22180,2013,14
22220,2013,38
22260,2013,12
22280,2013,5
