,year,USstate,cost_of_living_index,month
547,2017,az,69.39908937622108,8
548,2017,az,69.3323158559892,9
549,2017,az,69.26251855614207,10
550,2017,az,69.18123432227921,11
551,2017,az,69.08,12
552,2018,az,68.95245978847194,1
553,2018,az,68.80068730113484,2
554,2018,az,68.62886350499656,3
555,2018,az,68.441169367065,4
556,2018,az,68.24178585434802,5
557,2018,az,68.03489393385354,6
558,2018,az,67.8246745725894,7
559,2018,az,67.61530873756352,8
560,2018,az,67.41097739578376,9
561,2018,az,67.215861514258,10
562,2018,az,67.03414205999411,11
563,2018,az,66.87,12
564,2019,az,66.72773018784375,1
565,2019,az,66.61208302333418,2
566,2019,az,66.5279227928404,3
567,2019,az,66.48011378273141,4
568,2019,az,66.4735202793763,5
569,2019,az,66.51300656914414,6
570,2019,az,66.60343693840396,7
571,2019,az,66.74967567352485,8
572,2019,az,66.95658706087583,9
573,2019,az,67.22903538682598,10
574,2019,az,67.57188493774434,11
575,2019,az,67.99,12
576,2020,az,68.48330927496794,1
577,2020,az,69.03199912404699,2
578,2020,az,69.61132032364195,3
579,2020,az,70.19652365015754,4
580,2020,az,70.7628598799986,5
581,2020,az,71.28557978956991,6
582,2020,az,71.7399341552762,7
583,2020,az,72.10117375352229,8
584,2020,az,72.34454936071293,9
585,2020,az,72.44531175325291,10
586,2020,az,72.37871170754701,11
587,2020,az,72.12,12
588,2021,az,71.65725030487711,1
589,2021,az,71.02982788788528,2
590,2021,az,70.28992091259191,3
591,2021,az,69.48971754256434,4
592,2021,az,68.68140594137,5
593,2021,az,67.91717427257625,6
594,2021,az,67.24921069975049,7
595,2021,az,66.72970338646012,8
596,2021,az,66.4108404962725,9
597,2021,az,66.344810192755,10
598,2021,az,66.58380063947504,11
599,2021,az,67.18,12
600,2012,tx,68.1661675147829,1
601,2012,tx,69.49734673181936,2
602,2012,tx,71.10915227599058,3
603,2012,tx,72.93719877217778,4
604,2012,tx,74.91710084526223,5
605,2012,tx,76.98447312012517,6
606,2012,tx,79.0749302216478,7
607,2012,tx,81.12408677471142,8
608,2012,tx,83.06755740419722,9
609,2012,tx,84.84095673498639,10
610,2012,tx,86.37989939196025,11
611,2012,tx,87.62,12
612,2013,tx,88.51406921932461,1
613,2013,tx,89.08370185150403,2
614,2013,tx,89.36768873344595,3
615,2013,tx,89.40482070205796,4
616,2013,tx,89.2338885942478,5
617,2013,tx,88.89368324692315,6
618,2013,tx,88.42299549699165,7
619,2013,tx,87.86061618136095,8
620,2013,tx,87.2453361369388,9
621,2013,tx,86.61594620063278,10
622,2013,tx,86.01123720935064,11
623,2013,tx,85.47,12
624,2014,tx,85.02435537643714,1
625,2014,tx,84.67974401031265,2
626,2014,tx,84.43493654022575,3
627,2014,tx,84.28870360477559,4
628,2014,tx,84.23981584256136,5
629,2014,tx,84.28704389218227,6
630,2014,tx,84.4291583922375,7
631,2014,tx,84.66492998132624,8
632,2014,tx,84.99312929804768,9
633,2014,tx,85.41252698100098,10
634,2014,tx,85.92189366878534,11
635,2014,tx,86.52,12
636,2015,tx,87.19964932122309,1
637,2015,tx,87.92977581094902,2
638,2015,tx,88.67334635565109,3
639,2015,tx,89.39332784180264,4
640,2015,tx,90.05268715587708,5
641,2015,tx,90.61439118434775,6
642,2015,tx,91.04140681368797,7
643,2015,tx,91.2967009303711,8
